club_name,club_tm_id,league,season,market_value_m,club_url
LR Vicenza,2655,Serie B,2020-2021,11.1,https://www.transfermarkt.fr/lr-vicenza-virtus/startseite/verein/2655/saison_id/2020
Pordenone Calcio,21331,Serie B,2020-2021,18.9,https://www.transfermarkt.fr/pordenone-calcio/startseite/verein/21331/saison_id/2020
Reggina 1914,1386,Serie B,2020-2021,17.74,https://www.transfermarkt.fr/reggina-1914/startseite/verein/1386/saison_id/2020
SPAL,2722,Serie B,2020-2021,47.7,https://www.transfermarkt.fr/spal/startseite/verein/2722/saison_id/2020
US Cremonese,2239,Serie B,2020-2021,18.14,https://www.transfermarkt.fr/us-cremonese/startseite/verein/2239/saison_id/2020
US Lecce,1005,Serie B,2020-2021,34.23,https://www.transfermarkt.fr/us-lecce/startseite/verein/1005/saison_id/2020
US Salernitana 1919,380,Serie B,2020-2021,27.0,https://www.transfermarkt.fr/us-salernitana-1919/startseite/verein/380/saison_id/2020
Venezia FC,607,Serie B,2020-2021,29.39,https://www.transfermarkt.fr/venezia-fc/startseite/verein/607/saison_id/2020
Virtus Entella,20519,Serie B,2020-2021,12.18,https://www.transfermarkt.fr/virtus-entella/startseite/verein/20519/saison_id/2020
AC Monza,2919,Serie B,2021-2022,47.74,https://www.transfermarkt.fr/ac-monza/startseite/verein/2919/saison_id/2021
AC Perugia Calcio,839,Serie B,2021-2022,18.85,https://www.transfermarkt.fr/ac-perugia-calcio/startseite/verein/839/saison_id/2021
AS Cittadella,4084,Serie B,2021-2022,17.08,https://www.transfermarkt.fr/as-cittadella/startseite/verein/4084/saison_id/2021
Ascoli Calcio,408,Serie B,2021-2022,20.95,https://www.transfermarkt.fr/ascoli-calcio/startseite/verein/408/saison_id/2021
Benevento Calcio,4171,Serie B,2021-2022,27.15,https://www.transfermarkt.fr/benevento-calcio/startseite/verein/4171/saison_id/2021
Brescia Calcio (- 2025),19,Serie B,2021-2022,36.15,https://www.transfermarkt.fr/brescia-calcio/startseite/verein/19/saison_id/2021
Como 1907,1047,Serie B,2021-2022,18.53,https://www.transfermarkt.fr/como-1907/startseite/verein/1047/saison_id/2021
Cosenza Calcio,4031,Serie B,2021-2022,18.03,https://www.transfermarkt.fr/cosenza-calcio/startseite/verein/4031/saison_id/2021
FC Crotone,4083,Serie B,2021-2022,27.18,https://www.transfermarkt.fr/fc-crotone/startseite/verein/4083/saison_id/2021
Frosinone Calcio,8970,Serie B,2021-2022,30.73,https://www.transfermarkt.fr/frosinone-calcio/startseite/verein/8970/saison_id/2021
LR Vicenza,2655,Serie B,2021-2022,19.6,https://www.transfermarkt.fr/lr-vicenza-virtus/startseite/verein/2655/saison_id/2021
Parma Calcio 1913,130,Serie B,2021-2022,64.1,https://www.transfermarkt.fr/parma-calcio-1913/startseite/verein/130/saison_id/2021
Pisa Sporting Club,4172,Serie B,2021-2022,34.33,https://www.transfermarkt.fr/ac-pisa-1909/startseite/verein/4172/saison_id/2021
Pordenone Calcio,21331,Serie B,2021-2022,17.33,https://www.transfermarkt.fr/pordenone-calcio/startseite/verein/21331/saison_id/2021
Reggina 1914,1386,Serie B,2021-2022,17.35,https://www.transfermarkt.fr/reggina-1914/startseite/verein/1386/saison_id/2021
SPAL,2722,Serie B,2021-2022,31.13,https://www.transfermarkt.fr/spal/startseite/verein/2722/saison_id/2021
Ternana Calcio,1103,Serie B,2021-2022,17.25,https://www.transfermarkt.fr/ternana-calcio/startseite/verein/1103/saison_id/2021
US Alessandria Calcio 1912,2721,Serie B,2021-2022,14.13,https://www.transfermarkt.fr/us-alessandria-calcio-1912/startseite/verein/2721/saison_id/2021
US Cremonese,2239,Serie B,2021-2022,43.6,https://www.transfermarkt.fr/us-cremonese/startseite/verein/2239/saison_id/2021
US Lecce,1005,Serie B,2021-2022,42.3,https://www.transfermarkt.fr/us-lecce/startseite/verein/1005/saison_id/2021
AC Perugia Calcio,839,Serie B,2022-2023,14.5,https://www.transfermarkt.fr/ac-perugia-calcio/startseite/verein/839/saison_id/2022
AS Cittadella,4084,Serie B,2022-2023,17.68,https://www.transfermarkt.fr/as-cittadella/startseite/verein/4084/saison_id/2022
Ascoli Calcio,408,Serie B,2022-2023,23.48,https://www.transfermarkt.fr/ascoli-calcio/startseite/verein/408/saison_id/2022
Benevento Calcio,4171,Serie B,2022-2023,22.02,https://www.transfermarkt.fr/benevento-calcio/startseite/verein/4171/saison_id/2022
Brescia Calcio (- 2025),19,Serie B,2022-2023,21.1,https://www.transfermarkt.fr/brescia-calcio/startseite/verein/19/saison_id/2022
Cagliari Calcio,1390,Serie B,2022-2023,41.83,https://www.transfermarkt.fr/cagliari-calcio/startseite/verein/1390/saison_id/2022
Como 1907,1047,Serie B,2022-2023,31.13,https://www.transfermarkt.fr/como-1907/startseite/verein/1047/saison_id/2022
Cosenza Calcio,4031,Serie B,2022-2023,17.9,https://www.transfermarkt.fr/cosenza-calcio/startseite/verein/4031/saison_id/2022
FC Südtirol,4554,Serie B,2022-2023,22.58,https://www.transfermarkt.fr/fc-sudtirol/startseite/verein/4554/saison_id/2022
Frosinone Calcio,8970,Serie B,2022-2023,40.13,https://www.transfermarkt.fr/frosinone-calcio/startseite/verein/8970/saison_id/2022
Genoa CFC,252,Serie B,2022-2023,67.98,https://www.transfermarkt.fr/genua-cfc/startseite/verein/252/saison_id/2022
Modena FC,1385,Serie B,2022-2023,20.98,https://www.transfermarkt.fr/modena-fc-2018/startseite/verein/1385/saison_id/2022
Palerme FC,458,Serie B,2022-2023,31.7,https://www.transfermarkt.fr/palermo-fc/startseite/verein/458/saison_id/2022
Parma Calcio 1913,130,Serie B,2022-2023,52.5,https://www.transfermarkt.fr/parma-calcio-1913/startseite/verein/130/saison_id/2022
Pisa Sporting Club,4172,Serie B,2022-2023,32.7,https://www.transfermarkt.fr/ac-pisa-1909/startseite/verein/4172/saison_id/2022
Reggina 1914,1386,Serie B,2022-2023,24.23,https://www.transfermarkt.fr/reggina-1914/startseite/verein/1386/saison_id/2022
SPAL,2722,Serie B,2022-2023,19.98,https://www.transfermarkt.fr/spal/startseite/verein/2722/saison_id/2022
SSC Bari,332,Serie B,2022-2023,36.93,https://www.transfermarkt.fr/ssc-bari/startseite/verein/332/saison_id/2022
Ternana Calcio,1103,Serie B,2022-2023,19.35,https://www.transfermarkt.fr/ternana-calcio/startseite/verein/1103/saison_id/2022
Venezia FC,607,Serie B,2022-2023,48.71,https://www.transfermarkt.fr/venezia-fc/startseite/verein/607/saison_id/2022
AC Reggiana 1919,5621,Serie B,2023-2024,22.75,https://www.transfermarkt.fr/ac-reggiana-1919/startseite/verein/5621/saison_id/2023
AS Cittadella,4084,Serie B,2023-2024,14.68,https://www.transfermarkt.fr/as-cittadella/startseite/verein/4084/saison_id/2023
Ascoli Calcio,408,Serie B,2023-2024,19.31,https://www.transfermarkt.fr/ascoli-calcio/startseite/verein/408/saison_id/2023
Brescia Calcio (- 2025),19,Serie B,2023-2024,21.15,https://www.transfermarkt.fr/brescia-calcio/startseite/verein/19/saison_id/2023
Calcio Lecco 1912,5514,Serie B,2023-2024,11.2,https://www.transfermarkt.fr/calcio-lecco-1912/startseite/verein/5514/saison_id/2023
Como 1907,1047,Serie B,2023-2024,54.08,https://www.transfermarkt.fr/como-1907/startseite/verein/1047/saison_id/2023
Cosenza Calcio,4031,Serie B,2023-2024,20.85,https://www.transfermarkt.fr/cosenza-calcio/startseite/verein/4031/saison_id/2023
FC Südtirol,4554,Serie B,2023-2024,14.6,https://www.transfermarkt.fr/fc-sudtirol/startseite/verein/4554/saison_id/2023
Feralpisalò,9439,Serie B,2023-2024,12.1,https://www.transfermarkt.fr/feralpisalo/startseite/verein/9439/saison_id/2023
Modena FC,1385,Serie B,2023-2024,20.2,https://www.transfermarkt.fr/modena-fc-2018/startseite/verein/1385/saison_id/2023
Palerme FC,458,Serie B,2023-2024,42.7,https://www.transfermarkt.fr/palermo-fc/startseite/verein/458/saison_id/2023
Parma Calcio 1913,130,Serie B,2023-2024,79.15,https://www.transfermarkt.fr/parma-calcio-1913/startseite/verein/130/saison_id/2023
Pisa Sporting Club,4172,Serie B,2023-2024,31.15,https://www.transfermarkt.fr/ac-pisa-1909/startseite/verein/4172/saison_id/2023
SSC Bari,332,Serie B,2023-2024,25.0,https://www.transfermarkt.fr/ssc-bari/startseite/verein/332/saison_id/2023
Spezia Calcio,3522,Serie B,2023-2024,52.68,https://www.transfermarkt.fr/spezia-calcio/startseite/verein/3522/saison_id/2023
Ternana Calcio,1103,Serie B,2023-2024,25.88,https://www.transfermarkt.fr/ternana-calcio/startseite/verein/1103/saison_id/2023
UC Sampdoria,1038,Serie B,2023-2024,54.48,https://www.transfermarkt.fr/sampdoria-genua/startseite/verein/1038/saison_id/2023
US Catanzaro,4097,Serie B,2023-2024,23.63,https://www.transfermarkt.fr/us-catanzaro/startseite/verein/4097/saison_id/2023
US Cremonese,2239,Serie B,2023-2024,43.55,https://www.transfermarkt.fr/us-cremonese/startseite/verein/2239/saison_id/2023
Venezia FC,607,Serie B,2023-2024,44.93,https://www.transfermarkt.fr/venezia-fc/startseite/verein/607/saison_id/2023
