nom_schema;nom_table;nom_variable_actuel;type_actuel;type_final;new_nom_variable
gold;equipe_confrontation_zone;def_cross_droit;DOUBLE;DOUBLE;dec_def_cross_droit
gold;equipe_confrontation_zone;def_dribble_gauche;DOUBLE;DOUBLE;dec_def_dribble_gauche
gold;equipe_confrontation_zone;def_dribble_droit;DOUBLE;DOUBLE;dec_def_dribble_droit
gold;equipe_confrontation_zone;def_central_axe;DOUBLE;DOUBLE;dec_def_central_axe
gold;equipe_gardien_match;str_match_id;VARCHAR;VARCHAR;str_match_id
gold;equipe_gardien_match;str_team_id;VARCHAR;VARCHAR;str_team_id
gold;equipe_gardien_match;keeper_psxg_plus_minus_lag;DOUBLE;DOUBLE;dec_keeper_psxg_plus_minus_lag
gold;equipe_gardien_match;keeper_psxg_per_shot_lag;DOUBLE;DOUBLE;dec_keeper_psxg_per_shot_lag
gold;equipe_gardien_match;keeper_save_pct_lag;DOUBLE;DOUBLE;dec_keeper_save_pct_lag
gold;equipe_gardien_match;keeper_shots_faced_lag;HUGEINT;BIGINT;int_keeper_shots_faced_lag
gold;equipe_lineup_match;match_id;VARCHAR;VARCHAR;str_match_id
gold;equipe_lineup_match;team_id;BIGINT;VARCHAR;str_team_id
gold;equipe_lineup_match;lineup_sum_xg_per90_lag;DOUBLE;DOUBLE;dec_lineup_sum_xg_per90_lag
gold;equipe_lineup_match;lineup_avg_shots_per90_lag;DOUBLE;DOUBLE;dec_lineup_avg_shots_per90_lag
gold;equipe_lineup_match;lineup_avg_def_actions_per90_lag;DOUBLE;DOUBLE;dec_lineup_avg_def_actions_per90_lag
gold;equipe_lineup_match;lineup_avg_aerial_win_rate_lag;DOUBLE;DOUBLE;dec_lineup_avg_aerial_win_rate_lag
gold;equipe_lineup_match;n_starters_profiled;BIGINT;BIGINT;int_n_starters_profiled
gold;equipe_match;str_match_id;VARCHAR;VARCHAR;str_match_id
gold;equipe_match;str_team_id;VARCHAR;VARCHAR;str_team_id
gold;equipe_match;str_opponent_id;VARCHAR;VARCHAR;str_opponent_id
gold;equipe_match;dt_date;DATE;DATE;dt_date
gold;equipe_match;str_season;VARCHAR;VARCHAR;str_season
gold;equipe_match;str_league_source;VARCHAR;VARCHAR;str_league_source
gold;equipe_match;str_venue;VARCHAR;VARCHAR;str_venue
gold;equipe_match;str_comp_category;VARCHAR;VARCHAR;str_comp_category
gold;equipe_match;int_is_home;INTEGER;INTEGER;int_is_home
gold;equipe_match;int_days_since_last_game;BIGINT;BIGINT;int_days_since_last_game
gold;equipe_match;dec_avg_gf_rolling_3;DOUBLE;DOUBLE;dec_avg_gf_rolling_3
gold;equipe_match;dec_avg_ga_rolling_3;DOUBLE;DOUBLE;dec_avg_ga_rolling_3
gold;equipe_match;dec_avg_np_xg_rolling_3;DOUBLE;DOUBLE;dec_avg_np_xg_rolling_3
gold;equipe_match;dec_avg_np_xg_conceded_rolling_3;DOUBLE;DOUBLE;dec_avg_np_xg_conceded_rolling_3
gold;equipe_match;dec_avg_np_xg_diff_rolling_3;DOUBLE;DOUBLE;dec_avg_np_xg_diff_rolling_3
gold;equipe_match;dec_points_rolling_3;DOUBLE;DOUBLE;dec_points_rolling_3
gold;equipe_match;dec_win_rate_rolling_3;DOUBLE;DOUBLE;dec_win_rate_rolling_3
gold;equipe_match;dec_draw_rate_rolling_3;DOUBLE;DOUBLE;dec_draw_rate_rolling_3
gold;equipe_match;dec_loss_rate_rolling_3;DOUBLE;DOUBLE;dec_loss_rate_rolling_3
gold;equipe_match;dec_clean_sheet_rate_rolling_3;DOUBLE;DOUBLE;dec_clean_sheet_rate_rolling_3
gold;equipe_match;dec_failed_to_score_rate_rolling_3;DOUBLE;DOUBLE;dec_failed_to_score_rate_rolling_3
gold;equipe_match;dec_shots_rolling_3;DOUBLE;DOUBLE;dec_shots_rolling_3
gold;equipe_match;dec_shots_ot_rolling_3;DOUBLE;DOUBLE;dec_shots_ot_rolling_3
gold;equipe_match;dec_ppda_rolling_3;DOUBLE;DOUBLE;dec_ppda_rolling_3
gold;equipe_match;dec_ppda_allowed_rolling_3;DOUBLE;DOUBLE;dec_ppda_allowed_rolling_3
gold;equipe_match;dec_field_tilt_rolling_3;DOUBLE;DOUBLE;dec_field_tilt_rolling_3
gold;equipe_match;dec_counter_attack_dna_rolling_3;DOUBLE;DOUBLE;dec_counter_attack_dna_rolling_3
gold;equipe_match;dec_attack_left_pct_rolling_3;DOUBLE;DOUBLE;dec_attack_left_pct_rolling_3
gold;equipe_match;dec_attack_center_pct_rolling_3;DOUBLE;DOUBLE;dec_attack_center_pct_rolling_3
gold;equipe_match;dec_attack_right_pct_rolling_3;DOUBLE;DOUBLE;dec_attack_right_pct_rolling_3
gold;equipe_match;dec_def_exposed_left_pct_rolling_3;DOUBLE;DOUBLE;dec_def_exposed_left_pct_rolling_3
gold;equipe_match;dec_def_exposed_center_pct_rolling_3;DOUBLE;DOUBLE;dec_def_exposed_center_pct_rolling_3
gold;equipe_match;dec_def_exposed_right_pct_rolling_3;DOUBLE;DOUBLE;dec_def_exposed_right_pct_rolling_3
